dataset,classifier,fold,metric,value
semeion,GaussianNB,8,balanced_accuracy,0.78625
semeion,GaussianNB,8,geometric_mean,0.7744618911959302
semeion,GaussianNB,8,mcc,0.7693190083251901
semeion,GaussianNB,8,weighted_f1,0.7965219499810695
semeion,GaussianNB,8,fit_time,0.0019974708557128
semeion,GaussianNB,8,predict_time,0.0019998550415039
semeion,GaussianNB,9,accuracy,0.7861635220125787
semeion,GaussianNB,9,macro_f1,0.7874590400212521
semeion,GaussianNB,9,auc_roc,0.963722966847967
semeion,GaussianNB,9,log_loss,6.705021556240209
semeion,GaussianNB,9,brier_score,0.427983994688794
semeion,GaussianNB,9,ece,0.2154680725190728
semeion,GaussianNB,9,balanced_accuracy,0.7845833333333333
semeion,GaussianNB,9,geometric_mean,0.7658298007324816
semeion,GaussianNB,9,mcc,0.769535089382989
semeion,GaussianNB,9,weighted_f1,0.7886846151623128
semeion,GaussianNB,9,fit_time,0.002007246017456
semeion,GaussianNB,9,predict_time,0.0019996166229248
semeion,MultinomialNB,0,accuracy,0.86875
semeion,MultinomialNB,0,macro_f1,0.8669911046856018
semeion,MultinomialNB,0,auc_roc,0.9899482159961686
semeion,MultinomialNB,0,log_loss,1.1983578870472105
semeion,MultinomialNB,0,brier_score,0.2300202290999861
semeion,MultinomialNB,0,ece,0.1175480778265698
semeion,MultinomialNB,0,balanced_accuracy,0.8683333333333334
semeion,MultinomialNB,0,geometric_mean,0.8610293443028713
semeion,MultinomialNB,0,mcc,0.8554298460251714
semeion,MultinomialNB,0,weighted_f1,0.8677723546856019
semeion,MultinomialNB,0,fit_time,0.1099934577941894
semeion,MultinomialNB,0,predict_time,0.0010015964508056
semeion,MultinomialNB,1,accuracy,0.84375
semeion,MultinomialNB,1,macro_f1,0.8448318339875135
semeion,MultinomialNB,1,auc_roc,0.9849877451719172
semeion,MultinomialNB,1,log_loss,1.9001501330689727
semeion,MultinomialNB,1,brier_score,0.2743164621652806
semeion,MultinomialNB,1,ece,0.1356657356167879
semeion,MultinomialNB,1,balanced_accuracy,0.8440931372549019
semeion,MultinomialNB,1,geometric_mean,0.840906343746368
semeion,MultinomialNB,1,mcc,0.8266951384439637
semeion,MultinomialNB,1,weighted_f1,0.8442732474063293
semeion,MultinomialNB,1,fit_time,0.0039982795715332
semeion,MultinomialNB,1,predict_time,0.001000165939331
semeion,MultinomialNB,2,accuracy,0.85
semeion,MultinomialNB,2,macro_f1,0.8495713872184462
semeion,MultinomialNB,2,auc_roc,0.9862439471166652
semeion,MultinomialNB,2,log_loss,1.5015603329618314
semeion,MultinomialNB,2,brier_score,0.2783476061751628
semeion,MultinomialNB,2,ece,0.1309684754689179
semeion,MultinomialNB,2,balanced_accuracy,0.8494362745098039
semeion,MultinomialNB,2,geometric_mean,0.8418785956761305
semeion,MultinomialNB,2,mcc,0.8348066680267507
semeion,MultinomialNB,2,weighted_f1,0.8492829256799845
semeion,MultinomialNB,2,fit_time,0.0039999485015869
semeion,MultinomialNB,2,predict_time,0.0010006427764892
semeion,MultinomialNB,3,accuracy,0.8238993710691824
semeion,MultinomialNB,3,macro_f1,0.8211506875477464
semeion,MultinomialNB,3,auc_roc,0.9817890442890442
semeion,MultinomialNB,3,log_loss,2.011275065001598
semeion,MultinomialNB,3,brier_score,0.3038741945712218
semeion,MultinomialNB,3,ece,0.1603316809230209
semeion,MultinomialNB,3,balanced_accuracy,0.8237500000000001
semeion,MultinomialNB,3,geometric_mean,0.8118510242790389
semeion,MultinomialNB,3,mcc,0.8059374173381106
semeion,MultinomialNB,3,weighted_f1,0.8215981761486757
semeion,MultinomialNB,3,fit_time,0.0019986629486083
semeion,MultinomialNB,3,predict_time,0.0010020732879638
semeion,MultinomialNB,4,accuracy,0.8742138364779874
semeion,MultinomialNB,4,macro_f1,0.8724350269315264
semeion,MultinomialNB,4,auc_roc,0.9867482517482518
semeion,MultinomialNB,4,log_loss,1.4512670056415735
semeion,MultinomialNB,4,brier_score,0.2209102952227631
semeion,MultinomialNB,4,ece,0.0944059612902974
semeion,MultinomialNB,4,balanced_accuracy,0.8733333333333334
semeion,MultinomialNB,4,geometric_mean,0.8677232072049362
semeion,MultinomialNB,4,mcc,0.861052926386685
semeion,MultinomialNB,4,weighted_f1,0.8729804403983015
semeion,MultinomialNB,4,fit_time,0.0029997825622558
semeion,MultinomialNB,4,predict_time,0.0010008811950683
semeion,MultinomialNB,5,accuracy,0.8427672955974843
semeion,MultinomialNB,5,macro_f1,0.8418466817514005
semeion,MultinomialNB,5,auc_roc,0.9893356643356644
semeion,MultinomialNB,5,log_loss,1.6765739837743316
semeion,MultinomialNB,5,brier_score,0.2879087574886983
semeion,MultinomialNB,5,ece,0.1409431217673283
semeion,MultinomialNB,5,balanced_accuracy,0.84375
semeion,MultinomialNB,5,geometric_mean,0.8353668330446378
semeion,MultinomialNB,5,mcc,0.826687074406297
semeion,MultinomialNB,5,weighted_f1,0.8412450885548685
semeion,MultinomialNB,5,fit_time,0.003000259399414
semeion,MultinomialNB,5,predict_time,0.0010004043579101
semeion,MultinomialNB,6,accuracy,0.8364779874213837
semeion,MultinomialNB,6,macro_f1,0.8389540096269794
semeion,MultinomialNB,6,auc_roc,0.978464775964776
semeion,MultinomialNB,6,log_loss,2.225949188433096
semeion,MultinomialNB,6,brier_score,0.3040438151051971
semeion,MultinomialNB,6,ece,0.1508990630271255
semeion,MultinomialNB,6,balanced_accuracy,0.83625
semeion,MultinomialNB,6,geometric_mean,0.8342309039104193
semeion,MultinomialNB,6,mcc,0.819462934284427
semeion,MultinomialNB,6,weighted_f1,0.8393613081253436
semeion,MultinomialNB,6,fit_time,0.0029988288879394
semeion,MultinomialNB,6,predict_time,0.0009999275207519
semeion,MultinomialNB,7,accuracy,0.8616352201257862
semeion,MultinomialNB,7,macro_f1,0.8620823784059078
semeion,MultinomialNB,7,auc_roc,0.9887001424501424
semeion,MultinomialNB,7,log_loss,1.365745150371157
semeion,MultinomialNB,7,brier_score,0.2594100822131504
semeion,MultinomialNB,7,ece,0.1314363680601523
semeion,MultinomialNB,7,balanced_accuracy,0.8616666666666667
semeion,MultinomialNB,7,geometric_mean,0.8552179623477633
semeion,MultinomialNB,7,mcc,0.8467764820818866
semeion,MultinomialNB,7,weighted_f1,0.8620535464042678
semeion,MultinomialNB,7,fit_time,0.0030012130737304
semeion,MultinomialNB,7,predict_time,0.0009989738464355
semeion,MultinomialNB,8,accuracy,0.8176100628930818
semeion,MultinomialNB,8,macro_f1,0.8184282182474618
semeion,MultinomialNB,8,auc_roc,0.9833443408443407
semeion,MultinomialNB,8,log_loss,2.0415945397843456
semeion,MultinomialNB,8,brier_score,0.3151901364197776
semeion,MultinomialNB,8,ece,0.164917029635032
semeion,MultinomialNB,8,balanced_accuracy,0.8162499999999999
semeion,MultinomialNB,8,geometric_mean,0.803059992965913
semeion,MultinomialNB,8,mcc,0.7990152072745557
