dataset,classifier,fold,metric,value
iris,GaussianNB,9,ece,0.11781610313095384
iris,GaussianNB,9,balanced_accuracy,0.8666666666666667
iris,GaussianNB,9,geometric_mean,0.8434326653017492
iris,GaussianNB,9,mcc,0.8222264517930379
iris,GaussianNB,9,weighted_f1,0.8611111111111112
iris,GaussianNB,9,fit_time,0.0
iris,GaussianNB,9,predict_time,0.0009965896606445312
iris,MultinomialNB,0,accuracy,0.7333333333333333
iris,MultinomialNB,0,macro_f1,0.7333333333333334
iris,MultinomialNB,0,auc_roc,0.8333333333333334
iris,MultinomialNB,0,log_loss,0.794747138689799
iris,MultinomialNB,0,brier_score,0.4810785972998282
iris,MultinomialNB,0,ece,0.2784723215776666
iris,MultinomialNB,0,balanced_accuracy,0.7333333333333334
iris,MultinomialNB,0,geometric_mean,0.7113786608980126
iris,MultinomialNB,0,mcc,0.6
iris,MultinomialNB,0,weighted_f1,0.7333333333333333
iris,MultinomialNB,0,fit_time,0.009996175765991211
iris,MultinomialNB,0,predict_time,0.0
iris,MultinomialNB,1,accuracy,0.8666666666666667
iris,MultinomialNB,1,macro_f1,0.8666666666666667
iris,MultinomialNB,1,auc_roc,0.8333333333333334
iris,MultinomialNB,1,log_loss,0.8082944348273561
iris,MultinomialNB,1,brier_score,0.4898090795091979
iris,MultinomialNB,1,ece,0.41925987922062613
iris,MultinomialNB,1,balanced_accuracy,0.8666666666666667
iris,MultinomialNB,1,geometric_mean,0.8617738760127536
iris,MultinomialNB,1,mcc,0.8
iris,MultinomialNB,1,weighted_f1,0.8666666666666667
iris,MultinomialNB,1,fit_time,0.00099945068359375
iris,MultinomialNB,1,predict_time,0.0009989738464355469
iris,MultinomialNB,2,accuracy,0.7333333333333333
iris,MultinomialNB,2,macro_f1,0.7222222222222222
iris,MultinomialNB,2,auc_roc,0.8133333333333334
iris,MultinomialNB,2,log_loss,0.8056345578524249
iris,MultinomialNB,2,brier_score,0.48999724593065835
iris,MultinomialNB,2,ece,0.2842626796869796
iris,MultinomialNB,2,balanced_accuracy,0.7333333333333334
iris,MultinomialNB,2,geometric_mean,0.6839903786706788
iris,MultinomialNB,2,mcc,0.6166698388447784
iris,MultinomialNB,2,weighted_f1,0.7222222222222221
iris,MultinomialNB,2,fit_time,0.0009999275207519531
iris,MultinomialNB,2,predict_time,0.0010001659393310547
iris,MultinomialNB,3,accuracy,0.7333333333333333
iris,MultinomialNB,3,macro_f1,0.7333333333333334
iris,MultinomialNB,3,auc_roc,0.8333333333333334
iris,MultinomialNB,3,log_loss,0.804779735143912
iris,MultinomialNB,3,brier_score,0.4864355149309692
iris,MultinomialNB,3,ece,0.28360880322867243
iris,MultinomialNB,3,balanced_accuracy,0.7333333333333334
iris,MultinomialNB,3,geometric_mean,0.7113786608980126
iris,MultinomialNB,3,mcc,0.6
iris,MultinomialNB,3,weighted_f1,0.7333333333333333
iris,MultinomialNB,3,fit_time,0.00099945068359375
iris,MultinomialNB,3,predict_time,0.0
iris,MultinomialNB,4,accuracy,0.8666666666666667
iris,MultinomialNB,4,macro_f1,0.8611111111111112
iris,MultinomialNB,4,auc_roc,0.8333333333333334
iris,MultinomialNB,4,log_loss,0.8273473710892492
iris,MultinomialNB,4,brier_score,0.5060951994825712
iris,MultinomialNB,4,ece,0.42719761258815364
iris,MultinomialNB,4,balanced_accuracy,0.8666666666666667
iris,MultinomialNB,4,geometric_mean,0.8434326653017492
iris,MultinomialNB,4,mcc,0.8222264517930379
iris,MultinomialNB,4,weighted_f1,0.8611111111111112
iris,MultinomialNB,4,fit_time,0.0009999275207519531
iris,MultinomialNB,4,predict_time,0.0
iris,MultinomialNB,5,accuracy,0.8
iris,MultinomialNB,5,macro_f1,0.7802197802197802
iris,MultinomialNB,5,auc_roc,0.84
iris,MultinomialNB,5,log_loss,0.8089619625627744
iris,MultinomialNB,5,brier_score,0.4917482330052915
iris,MultinomialNB,5,ece,0.4061738866953158
iris,MultinomialNB,5,balanced_accuracy,0.7999999999999999
iris,MultinomialNB,5,geometric_mean,0.7368062997280773
iris,MultinomialNB,5,mcc,0.7462025072446365
iris,MultinomialNB,5,weighted_f1,0.7802197802197802
iris,MultinomialNB,5,fit_time,0.0010151863098144531
iris,MultinomialNB,5,predict_time,0.0
iris,MultinomialNB,6,accuracy,0.8666666666666667
iris,MultinomialNB,6,macro_f1,0.8666666666666667
iris,MultinomialNB,6,auc_roc,0.8333333333333334
iris,MultinomialNB,6,log_loss,0.8307679721911866
iris,MultinomialNB,6,brier_score,0.508009405334096
iris,MultinomialNB,6,ece,0.42978280348715203
iris,MultinomialNB,6,balanced_accuracy,0.8666666666666667
iris,MultinomialNB,6,geometric_mean,0.8617738760127536
iris,MultinomialNB,6,mcc,0.8
iris,MultinomialNB,6,weighted_f1,0.8666666666666667
iris,MultinomialNB,6,fit_time,0.0
iris,MultinomialNB,6,predict_time,0.00099945068359375
iris,MultinomialNB,7,accuracy,0.8666666666666667
iris,MultinomialNB,7,macro_f1,0.8611111111111112
iris,MultinomialNB,7,auc_roc,0.8333333333333334
iris,MultinomialNB,7,log_loss,0.8137664257047938
iris,MultinomialNB,7,brier_score,0.49078815115481506
iris,MultinomialNB,7,ece,0.41991102936570335
iris,MultinomialNB,7,balanced_accuracy,0.8666666666666667
iris,MultinomialNB,7,geometric_mean,0.8434326653017492
iris,MultinomialNB,7,mcc,0.8222264517930379
iris,MultinomialNB,7,weighted_f1,0.8611111111111112
iris,MultinomialNB,7,fit_time,0.0009999275207519531
iris,MultinomialNB,7,predict_time,0.0010001659393310547
iris,MultinomialNB,8,accuracy,0.8
iris,MultinomialNB,8,macro_f1,0.7979797979797979
iris,MultinomialNB,8,auc_roc,0.82
iris,MultinomialNB,8,log_loss,0.8024498630925806
iris,MultinomialNB,8,brier_score,0.4855856078093342
iris,MultinomialNB,8,ece,0.3485085283950067
iris,MultinomialNB,8,balanced_accuracy,0.8000000000000002
iris,MultinomialNB,8,geometric_mean,0.7829735282337728
iris,MultinomialNB,8,mcc,0.7047138579747255
iris,MultinomialNB,8,weighted_f1,0.7979797979797979
iris,MultinomialNB,8,fit_time,0.0010004043579101562
iris,MultinomialNB,8,predict_time,0.0
iris,MultinomialNB,9,accuracy,0.6666666666666666
iris,MultinomialNB,9,macro_f1,0.6336996336996337
iris,MultinomialNB,9,auc_roc,0.8333333333333334
iris,MultinomialNB,9,log_loss,0.8132650940338358
iris,MultinomialNB,9,brier_score,0.49491278158034874
