,BernoulliNB,ComplementNB,GaussianNB,MultinomialNB,PW-NB(auto),PW-NB(k=15),PW-NB(k=30),PW-NB(k=45),PW-NB(k=5)
BernoulliNB,1.0,1.2964877169053106e-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ComplementNB,1.2964877169053106e-05,1.0,0.09316654516100342,0.4256120023917077,0.01730253638331834,0.022327190547649197,0.021209613499639735,0.018897476371766257,0.02177514496503245
GaussianNB,1.0,0.09316654516100342,1.0,1.0,0.1185229000092701,0.40787816895871987,0.4565282555974357,0.6853613567005672,0.17249939942193487
MultinomialNB,1.0,0.4256120023917077,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PW-NB(auto),1.0,0.01730253638331834,0.1185229000092701,1.0,1.0,0.011226426143840281,0.06510448059908523,0.7245519246396905,0.30441506267597185
PW-NB(k=15),1.0,0.022327190547649197,0.40787816895871987,1.0,0.011226426143840281,1.0,1.0,1.0,0.9422839110260988
PW-NB(k=30),1.0,0.021209613499639735,0.4565282555974357,1.0,0.06510448059908523,1.0,1.0,1.0,1.0
PW-NB(k=45),1.0,0.018897476371766257,0.6853613567005672,1.0,0.7245519246396905,1.0,1.0,1.0,1.0
PW-NB(k=5),1.0,0.02177514496503245,0.17249939942193487,1.0,0.30441506267597185,0.9422839110260988,1.0,1.0,1.0
