,BernoulliNB,ComplementNB,GaussianNB,MultinomialNB,PW-NB(auto),PW-NB(k=15),PW-NB(k=30),PW-NB(k=45),PW-NB(k=5)
BernoulliNB,1.0,3.48150007347542e-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ComplementNB,3.48150007347542e-05,1.0,0.05228718077505477,0.00105438584832763,0.01283216465649196,0.016606873175188528,0.015725541482561466,0.015346039462036564,0.014866475728847922
GaussianNB,1.0,0.05228718077505477,1.0,1.0,0.08140085428935219,0.22076161360815938,0.2389760255642303,0.2862636540144198,0.13178988884292978
MultinomialNB,1.0,0.00105438584832763,1.0,1.0,0.9651446197287787,1.0,1.0,1.0,1.0
PW-NB(auto),1.0,0.01283216465649196,0.08140085428935219,0.9651446197287787,1.0,0.005611927289555544,0.23297937930575394,1.0,0.12943263737154231
PW-NB(k=15),1.0,0.016606873175188528,0.22076161360815938,1.0,0.005611927289555544,1.0,1.0,1.0,1.0
PW-NB(k=30),1.0,0.015725541482561466,0.2389760255642303,1.0,0.23297937930575394,1.0,1.0,1.0,1.0
PW-NB(k=45),1.0,0.015346039462036564,0.2862636540144198,1.0,1.0,1.0,1.0,1.0,1.0
PW-NB(k=5),1.0,0.014866475728847922,0.13178988884292978,1.0,0.12943263737154231,1.0,1.0,1.0,1.0
