,BernoulliNB,ComplementNB,GaussianNB,MultinomialNB,PW-NB(auto),PW-NB(k=15),PW-NB(k=30),PW-NB(k=45),PW-NB(k=5)
BernoulliNB,1.0,0.12942030079009947,1.0,0.04552606541472391,1.0,1.0,1.0,1.0,1.0
ComplementNB,0.12942030079009947,1.0,0.7101346949660408,1.0,0.4852497015905848,0.563190026792826,0.6644186883697356,0.6639357179909519,0.32207773315236293
GaussianNB,1.0,0.7101346949660408,1.0,0.031190574805133618,1.0,1.0,1.0,1.0,1.0
MultinomialNB,0.04552606541472391,1.0,0.031190574805133618,1.0,0.003106728353277026,0.006473196786739711,0.006282808645953249,0.00676765339027485,0.006195384823180219
PW-NB(auto),1.0,0.4852497015905848,1.0,0.003106728353277026,1.0,0.15329828722402183,0.03446056384695957,0.41829265431155865,1.0
PW-NB(k=15),1.0,0.563190026792826,1.0,0.006473196786739711,0.15329828722402183,1.0,0.9746742309669216,1.0,1.0
PW-NB(k=30),1.0,0.6644186883697356,1.0,0.006282808645953249,0.03446056384695957,0.9746742309669216,1.0,1.0,1.0
PW-NB(k=45),1.0,0.6639357179909519,1.0,0.00676765339027485,0.41829265431155865,1.0,1.0,1.0,1.0
PW-NB(k=5),1.0,0.32207773315236293,1.0,0.006195384823180219,1.0,1.0,1.0,1.0,1.0
