,BernoulliNB,ComplementNB,GaussianNB,MultinomialNB,PW-NB(auto),PW-NB(k=15),PW-NB(k=30),PW-NB(k=45),PW-NB(k=5)
BernoulliNB,1.0,0.12784844242524376,1.0,0.029638887210295714,1.0,1.0,1.0,1.0,1.0
ComplementNB,0.12784844242524376,1.0,0.22776849868070714,1.0,0.16114511655061384,0.20741380307691068,0.22853915717892986,0.2184836297858954,0.18322805292803113
GaussianNB,1.0,0.22776849868070714,1.0,0.015366370647925023,1.0,1.0,1.0,1.0,1.0
MultinomialNB,0.029638887210295714,1.0,0.015366370647925023,1.0,0.004546817448338688,0.01006184847662874,0.006925754167377568,0.006284532570374255,0.01037229346175751
PW-NB(auto),1.0,0.16114511655061384,1.0,0.004546817448338688,1.0,0.062338727998679726,0.026281079965358105,0.2075728022351164,1.0
PW-NB(k=15),1.0,0.20741380307691068,1.0,0.01006184847662874,0.062338727998679726,1.0,1.0,1.0,1.0
PW-NB(k=30),1.0,0.22853915717892986,1.0,0.006925754167377568,0.026281079965358105,1.0,1.0,0.8312920290238954,1.0
PW-NB(k=45),1.0,0.2184836297858954,1.0,0.006284532570374255,0.2075728022351164,1.0,0.8312920290238954,1.0,1.0
PW-NB(k=5),1.0,0.18322805292803113,1.0,0.01037229346175751,1.0,1.0,1.0,1.0,1.0
