,BernoulliNB,ComplementNB,GaussianNB,MultinomialNB,PW-NB(auto),PW-NB(k=15),PW-NB(k=30),PW-NB(k=45),PW-NB(k=5)
BernoulliNB,1.0,0.05238274746910152,1.0,0.11653116411817217,1.0,1.0,1.0,1.0,1.0
ComplementNB,0.05238274746910152,1.0,0.10161883464805055,1.0,0.05118176757953111,0.053367427097194706,0.05464331825914925,0.055108794150837026,0.049827626397766625
GaussianNB,1.0,0.10161883464805055,1.0,0.06172790762803974,1.0,1.0,1.0,1.0,1.0
MultinomialNB,0.11653116411817217,1.0,0.06172790762803974,1.0,0.052517394407690925,0.05404318054534951,0.054533320578135404,0.053711361265132214,0.05485046276199264
PW-NB(auto),1.0,0.05118176757953111,1.0,0.052517394407690925,1.0,0.054043619188530255,0.05387957015096709,1.0,1.0
PW-NB(k=15),1.0,0.053367427097194706,1.0,0.05404318054534951,0.054043619188530255,1.0,1.0,1.0,1.0
PW-NB(k=30),1.0,0.05464331825914925,1.0,0.054533320578135404,0.05387957015096709,1.0,1.0,1.0,1.0
PW-NB(k=45),1.0,0.055108794150837026,1.0,0.053711361265132214,1.0,1.0,1.0,1.0,0.8057699000341334
PW-NB(k=5),1.0,0.049827626397766625,1.0,0.05485046276199264,1.0,1.0,1.0,0.8057699000341334,1.0
