,BernoulliNB,ComplementNB,GaussianNB,MultinomialNB,PW-NB(auto),PW-NB(k=15),PW-NB(k=30),PW-NB(k=45),PW-NB(k=5)
BernoulliNB,1.0,0.00040857410212118584,1.0,0.27572584084272506,1.0,1.0,1.0,1.0,1.0
ComplementNB,0.00040857410212118584,1.0,0.06138149360115036,0.8933576824004563,0.024559909602414116,0.03232667644946401,0.031249120567815213,0.03157600910465882,0.0282868703524938
GaussianNB,1.0,0.06138149360115036,1.0,0.5606231633522525,0.6464791562595789,1.0,1.0,1.0,0.8471677588699992
MultinomialNB,0.27572584084272506,0.8933576824004563,0.5606231633522525,1.0,0.27832679217167866,0.3799632176979393,0.3655318216263661,0.37319354952924677,0.34963913372956756
PW-NB(auto),1.0,0.024559909602414116,0.6464791562595789,0.27832679217167866,1.0,0.002768100895959659,0.0046302007048353465,0.0655635054541853,0.8074692685714019
PW-NB(k=15),1.0,0.03232667644946401,1.0,0.3799632176979393,0.002768100895959659,1.0,1.0,1.0,1.0
PW-NB(k=30),1.0,0.031249120567815213,1.0,0.3655318216263661,0.0046302007048353465,1.0,1.0,1.0,1.0
PW-NB(k=45),1.0,0.03157600910465882,1.0,0.37319354952924677,0.0655635054541853,1.0,1.0,1.0,1.0
PW-NB(k=5),1.0,0.0282868703524938,0.8471677588699992,0.34963913372956756,0.8074692685714019,1.0,1.0,1.0,1.0
