,BernoulliNB,ComplementNB,GaussianNB,MultinomialNB,PW-NB(auto),PW-NB(k=15),PW-NB(k=30),PW-NB(k=45),PW-NB(k=5)
BernoulliNB,1.0,0.015813443728944627,0.047620679517365025,1.0,0.05089776587292638,0.03976801858743196,0.046591881699478026,0.0455271289642148,0.04860664696559894
ComplementNB,0.015813443728944627,1.0,1.0,0.0015148626514319594,1.0,1.0,1.0,1.0,1.0
GaussianNB,0.047620679517365025,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MultinomialNB,1.0,0.0015148626514319594,1.0,1.0,0.8561088453564327,0.715093951691475,0.7147015819753669,0.7141801134807835,0.7872000140357824
PW-NB(auto),0.05089776587292638,1.0,1.0,0.8561088453564327,1.0,0.031118519799587685,0.09841441957838619,1.0,0.7625268132567945
PW-NB(k=15),0.03976801858743196,1.0,1.0,0.715093951691475,0.031118519799587685,1.0,1.0,1.0,1.0
PW-NB(k=30),0.046591881699478026,1.0,1.0,0.7147015819753669,0.09841441957838619,1.0,1.0,1.0,1.0
PW-NB(k=45),0.0455271289642148,1.0,1.0,0.7141801134807835,1.0,1.0,1.0,1.0,0.986630397174728
PW-NB(k=5),0.04860664696559894,1.0,1.0,0.7872000140357824,0.7625268132567945,1.0,1.0,0.986630397174728,1.0
