,BernoulliNB,ComplementNB,GaussianNB,MultinomialNB,PW-NB(auto),PW-NB(k=15),PW-NB(k=30),PW-NB(k=45),PW-NB(k=5)
BernoulliNB,1.0,1.0,0.00018157210234660094,1.0,1.2488530624702346e-05,7.834055596136405e-06,5.775056267134162e-06,4.056179687508745e-06,1.3617693719477008e-05
ComplementNB,1.0,1.0,0.00971817073814049,2.021739095369406e-07,0.00023542483564604203,0.0002215138107563564,0.00019305301125913967,0.00019449893778444939,0.00023195488431969292
GaussianNB,0.00018157210234660094,0.00971817073814049,1.0,2.3218483179737916e-05,0.09938269796003361,0.06674211180262138,0.0567353337187517,0.04562497520333372,0.05451499847899703
MultinomialNB,1.0,2.021739095369406e-07,2.3218483179737916e-05,1.0,2.6420576462047274e-06,2.593584283663771e-06,2.492336979042914e-06,2.2467018981248924e-06,2.561995293289433e-06
PW-NB(auto),1.2488530624702346e-05,0.00023542483564604203,0.09938269796003361,2.6420576462047274e-06,1.0,1.0,1.0,1.0,1.0
PW-NB(k=15),7.834055596136405e-06,0.0002215138107563564,0.06674211180262138,2.593584283663771e-06,1.0,1.0,1.0,1.0,0.9211243698669324
PW-NB(k=30),5.775056267134162e-06,0.00019305301125913967,0.0567353337187517,2.492336979042914e-06,1.0,1.0,1.0,0.9756353083854152,1.0
PW-NB(k=45),4.056179687508745e-06,0.00019449893778444939,0.04562497520333372,2.2467018981248924e-06,1.0,1.0,0.9756353083854152,1.0,1.0
PW-NB(k=5),1.3617693719477008e-05,0.00023195488431969292,0.05451499847899703,2.561995293289433e-06,1.0,0.9211243698669324,1.0,1.0,1.0
