dataset,classifier,metric,mean,std
JapaneseVowels,GaussianNB,log_loss,0.44308451947989147,0.02224997478566971
JapaneseVowels,GaussianNB,macro_f1,0.8501532959443386,0.011406342732373748
JapaneseVowels,GaussianNB,mcc,0.8393234276951542,0.011748172414899064
JapaneseVowels,GaussianNB,weighted_f1,0.8575956614740295,0.01058449538367692
JapaneseVowels,MultinomialNB,accuracy,0.36502388692180954,0.007304755231470801
JapaneseVowels,MultinomialNB,auc_roc,0.9344454018524762,0.002774123290409087
JapaneseVowels,MultinomialNB,balanced_accuracy,0.2867197717788442,0.006896761956370353
JapaneseVowels,MultinomialNB,brier_score,0.8232106657740366,0.0009636138923998662
JapaneseVowels,MultinomialNB,ece,0.19316641303479165,0.007373530324709755
JapaneseVowels,MultinomialNB,geometric_mean,0.0,0.0
JapaneseVowels,MultinomialNB,log_loss,1.942223154278772,0.0025209892309253135
JapaneseVowels,MultinomialNB,macro_f1,0.2172373584823223,0.007050082578434548
JapaneseVowels,MultinomialNB,mcc,0.3039625004066563,0.009845300735151835
JapaneseVowels,MultinomialNB,weighted_f1,0.2534928212209127,0.007393629064751046
JapaneseVowels,PW-NB(auto),accuracy,0.855033473915723,0.012119829886653322
JapaneseVowels,PW-NB(auto),auc_roc,0.9825369422515939,0.0015705761116862765
JapaneseVowels,PW-NB(auto),balanced_accuracy,0.8454849801260609,0.013488118760615179
JapaneseVowels,PW-NB(auto),best_k,5.0,0.0
JapaneseVowels,PW-NB(auto),brier_score,0.21438254831387177,0.012434082296444632
JapaneseVowels,PW-NB(auto),ece,0.03473574010159408,0.0077127926399792514
JapaneseVowels,PW-NB(auto),geometric_mean,0.8386647052916245,0.015198885676266009
JapaneseVowels,PW-NB(auto),log_loss,0.4704512145231415,0.025612474680668903
JapaneseVowels,PW-NB(auto),macro_f1,0.8466987138994639,0.01330748417199776
JapaneseVowels,PW-NB(auto),mcc,0.8362741340454605,0.013729740860660911
JapaneseVowels,PW-NB(auto),mean_pr,0.9581612667438671,0.0006777969299216779
